SampleID,Zip Code,Ward,Pb Bottle 1 (ppb) - First Draw,Pb Bottle 1 in mg/L,Pb Bottle 2 (ppb) - 45 secs flushing,Pb Bottle 2 in mg/L,Pb Bottle 3 (ppb) - 2 mins flushing,Pb Bottle 3 in mg/L,Notes
1,48504,6,0.344,0.00034399999999999996,0.226,0.00022600000000000002,0.145,0.000145,
2,48507,9,8.133,0.008133,10.77,0.01077,2.761,0.002761,
4,48504,1,1.111,0.001111,0.11,0.00011,0.123,0.000123,
5,48507,8,8.007,0.008007,7.446,0.0074459999999999995,3.384,0.003384,
6,48505,3,1.951,0.001951,0.048,4.8e-05,0.035,3.5000000000000004e-05,
7,48507,9,7.2,0.0072,1.4,0.0014,0.2,0.0002,
9,48503,5,1.1,0.0011,2.5,0.0025,0.1,0.0001,
12,48507,9,10.6,0.0106,1.038,0.001038,1.294,0.001294,
13,48505,3,6.2,0.0062,4.2,0.004200000000000001,2.3,0.0023,
15,48507,9,4.358,0.004358,0.822,0.0008219999999999999,0.147,0.000147,
17,48505,2,6.609,0.006609,5.752,0.005752,1.433,0.001433,
18,48503,7,4.062,0.0040620000000000005,1.099,0.001099,1.085,0.001085,
19,48507,9,2.484,0.002484,0.72,0.0007199999999999999,0.565,0.000565,
20,48507,9,0.438,0.000438,1.046,0.001046,0.511,0.0005110000000000001,
21,48503,5,1.29,0.0012900000000000001,0.243,0.000243,0.225,0.000225,
22,48504,6,0.548,0.0005480000000000001,0.622,0.000622,0.361,0.000361,
23,48504,2,3.131,0.0031309999999999997,0.674,0.000674,0.683,0.000683,
25,48505,1,2.911,0.002911,0.406,0.000406,0.237,0.000237,
26,48505,5,16.52,0.01652,10.26,0.01026,2.762,0.002762,
27,48505,1,1.984,0.001984,1.13,0.00113,0.712,0.000712,
28,48503,7,5.367,0.005367,2.474,0.002474,1.616,0.001616,
29,48504,2,5.5,0.0055,8.4,0.008400000000000001,2.4,0.0024,
30,48506,4,0.639,0.000639,0.223,0.000223,0.194,0.000194,
36,48503,8,5.06,0.005059999999999999,3.406,0.003406,4.088,0.0040880000000000005,
37,48504,2,2.774,0.002774,0.21,0.00020999999999999998,0.264,0.000264,
